Geographic Area Name,County,State,Year,Owner-occupied housing units with a mortgage!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS ( INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS!!Median (dollars),( INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars) per month,% of monthly Household Income Spent on Housing Cost
"Sampson County, North Carolina",Sampson County, North Carolina,2012,"$58,219.00 ","$1,071.00 ","$4,851.58 ",22%
"Rutherford County, North Carolina",Rutherford County, North Carolina,2017,"$58,247.00 ",$974.00 ,"$4,853.92 ",20%
"Richmond County, North Carolina",Richmond County, North Carolina,2017,"$58,264.00 ",$907.00 ,"$4,855.33 ",19%
"Robeson County, North Carolina",Robeson County, North Carolina,2018,"$58,298.00 ",$986.00 ,"$4,858.17 ",20%
"Jackson County, North Carolina",Jackson County, North Carolina,2011,"$58,302.00 ","$1,121.00 ","$4,858.50 ",23%
"Abbeville County, South Carolina",Abbeville County, South Carolina,2018,"$58,318.00 ",$989.00 ,"$4,859.83 ",20%
"Franklin County, North Carolina",Franklin County, North Carolina,2010,"$58,353.00 ","$1,144.00 ","$4,862.75 ",24%
"Sampson County, North Carolina",Sampson County, North Carolina,2011,"$58,369.00 ","$1,038.00 ","$4,864.08 ",21%
"Swain County, North Carolina",Swain County, North Carolina,2016,"$58,371.00 ","$1,004.00 ","$4,864.25 ",21%
"Stokes County, North Carolina",Stokes County, North Carolina,2010,"$58,372.00 ",$964.00 ,"$4,864.33 ",20%
"Alexander County, North Carolina",Alexander County, North Carolina,2010,"$58,407.00 ",$994.00 ,"$4,867.25 ",20%
"Cleveland County, North Carolina",Cleveland County, North Carolina,2011,"$58,438.00 ","$1,061.00 ","$4,869.83 ",22%
"Hertford County, North Carolina",Hertford County, North Carolina,2018,"$58,440.00 ",$989.00 ,"$4,870.00 ",20%
"Laurens County, South Carolina",Laurens County, South Carolina,2015,"$58,444.00 ",$930.00 ,"$4,870.33 ",19%
"Lenoir County, North Carolina",Lenoir County, North Carolina,2015,"$58,475.00 ","$1,070.00 ","$4,872.92 ",22%
"Orangeburg County, South Carolina",Orangeburg County, South Carolina,2017,"$58,514.00 ","$1,062.00 ","$4,876.17 ",22%
"Caswell County, North Carolina",Caswell County, North Carolina,2016,"$58,524.00 ","$1,024.00 ","$4,877.00 ",21%
"Person County, North Carolina",Person County, North Carolina,2014,"$58,527.00 ","$1,108.00 ","$4,877.25 ",23%
"Avery County, North Carolina",Avery County, North Carolina,2015,"$58,531.00 ","$1,023.00 ","$4,877.58 ",21%
"Cherokee County, South Carolina",Cherokee County, South Carolina,2016,"$58,534.00 ",$942.00 ,"$4,877.83 ",19%
"Yancey County, North Carolina",Yancey County, North Carolina,2014,"$58,548.00 ","$1,060.00 ","$4,879.00 ",22%
"Caswell County, North Carolina",Caswell County, North Carolina,2014,"$58,612.00 ",$996.00 ,"$4,884.33 ",20%
"Montgomery County, North Carolina",Montgomery County, North Carolina,2016,"$58,612.00 ",$963.00 ,"$4,884.33 ",20%
"Alexander County, North Carolina",Alexander County, North Carolina,2012,"$58,614.00 ",$987.00 ,"$4,884.50 ",20%
"Vance County, North Carolina",Vance County, North Carolina,2013,"$58,614.00 ","$1,065.00 ","$4,884.50 ",22%
"Kershaw County, South Carolina",Kershaw County, South Carolina,2011,"$58,635.00 ","$1,065.00 ","$4,886.25 ",22%
"Polk County, North Carolina",Polk County, North Carolina,2012,"$58,636.00 ","$1,194.00 ","$4,886.33 ",24%
"Chester County, South Carolina",Chester County, South Carolina,2016,"$58,639.00 ",$939.00 ,"$4,886.58 ",19%
"Macon County, North Carolina",Macon County, North Carolina,2017,"$58,661.00 ","$1,010.00 ","$4,888.42 ",21%
"Cherokee County, North Carolina",Cherokee County, North Carolina,2018,"$58,722.00 ","$1,015.00 ","$4,893.50 ",21%
"Duplin County, North Carolina",Duplin County, North Carolina,2017,"$58,730.00 ","$1,081.00 ","$4,894.17 ",22%
"Caldwell County, North Carolina",Caldwell County, North Carolina,2017,"$58,734.00 ",$946.00 ,"$4,894.50 ",19%
"Burke County, North Carolina",Burke County, North Carolina,2014,"$58,746.00 ","$1,007.00 ","$4,895.50 ",21%
"Greene County, North Carolina",Greene County, North Carolina,2012,"$58,750.00 ","$1,034.00 ","$4,895.83 ",21%
"Jackson County, North Carolina",Jackson County, North Carolina,2015,"$58,844.00 ","$1,148.00 ","$4,903.67 ",23%
"Lenoir County, North Carolina",Lenoir County, North Carolina,2013,"$58,848.00 ","$1,069.00 ","$4,904.00 ",22%
"Horry County, South Carolina",Horry County, South Carolina,2015,"$58,909.00 ","$1,207.00 ","$4,909.08 ",25%
"Sumter County, South Carolina",Sumter County, South Carolina,2011,"$58,964.00 ","$1,017.00 ","$4,913.67 ",21%
"Pamlico County, North Carolina",Pamlico County, North Carolina,2011,"$58,969.00 ","$1,244.00 ","$4,914.08 ",25%
"Martin County, North Carolina",Martin County, North Carolina,2018,"$58,982.00 ","$1,027.00 ","$4,915.17 ",21%
"Burke County, North Carolina",Burke County, North Carolina,2017,"$58,998.00 ","$1,005.00 ","$4,916.50 ",20%
"Dillon County, South Carolina",Dillon County, South Carolina,2016,"$59,026.00 ",$856.00 ,"$4,918.83 ",17%
"Madison County, North Carolina",Madison County, North Carolina,2010,"$59,070.00 ","$1,132.00 ","$4,922.50 ",23%
"Darlington County, South Carolina",Darlington County, South Carolina,2016,"$59,094.00 ",$930.00 ,"$4,924.50 ",19%
"Abbeville County, South Carolina",Abbeville County, South Carolina,2014,"$59,107.00 ","$1,025.00 ","$4,925.58 ",21%
"Randolph County, North Carolina",Randolph County, North Carolina,2011,"$59,117.00 ","$1,088.00 ","$4,926.42 ",22%
"Martin County, North Carolina",Martin County, North Carolina,2014,"$59,167.00 ","$1,070.00 ","$4,930.58 ",22%
"Surry County, North Carolina",Surry County, North Carolina,2016,"$59,172.00 ","$1,019.00 ","$4,931.00 ",21%
"Surry County, North Carolina",Surry County, North Carolina,2010,"$59,188.00 ",$986.00 ,"$4,932.33 ",20%
"Madison County, North Carolina",Madison County, North Carolina,2016,"$59,197.00 ","$1,151.00 ","$4,933.08 ",23%
"Ashe County, North Carolina",Ashe County, North Carolina,2016,"$59,250.00 ","$1,033.00 ","$4,937.50 ",21%
"Darlington County, South Carolina",Darlington County, South Carolina,2011,"$59,254.00 ",$963.00 ,"$4,937.83 ",20%
"Saluda County, South Carolina",Saluda County, South Carolina,2013,"$59,258.00 ",$982.00 ,"$4,938.17 ",20%
"Kershaw County, South Carolina",Kershaw County, South Carolina,2012,"$59,272.00 ","$1,081.00 ","$4,939.33 ",22%
"Kershaw County, South Carolina",Kershaw County, South Carolina,2010,"$59,273.00 ","$1,034.00 ","$4,939.42 ",21%
"Abbeville County, South Carolina",Abbeville County, South Carolina,2012,"$59,286.00 ","$1,010.00 ","$4,940.50 ",20%
"Hoke County, North Carolina",Hoke County, North Carolina,2012,"$59,288.00 ","$1,208.00 ","$4,940.67 ",24%
"Lancaster County, South Carolina",Lancaster County, South Carolina,2010,"$59,292.00 ","$1,092.00 ","$4,941.00 ",22%
"Swain County, North Carolina",Swain County, North Carolina,2018,"$59,292.00 ","$1,085.00 ","$4,941.00 ",22%
"Swain County, North Carolina",Swain County, North Carolina,2015,"$59,299.00 ","$1,068.00 ","$4,941.58 ",22%
"Sampson County, North Carolina",Sampson County, North Carolina,2016,"$59,320.00 ","$1,031.00 ","$4,943.33 ",21%
"Stokes County, North Carolina",Stokes County, North Carolina,2016,"$59,346.00 ","$1,057.00 ","$4,945.50 ",21%
"Lenoir County, North Carolina",Lenoir County, North Carolina,2014,"$59,397.00 ","$1,064.00 ","$4,949.75 ",21%
"Polk County, North Carolina",Polk County, North Carolina,2013,"$59,415.00 ","$1,184.00 ","$4,951.25 ",24%
"Yadkin County, North Carolina",Yadkin County, North Carolina,2011,"$59,461.00 ","$1,079.00 ","$4,955.08 ",22%
"Kershaw County, South Carolina",Kershaw County, South Carolina,2014,"$59,474.00 ","$1,094.00 ","$4,956.17 ",22%
"Hoke County, North Carolina",Hoke County, North Carolina,2016,"$59,487.00 ","$1,117.00 ","$4,957.25 ",23%
"Darlington County, South Carolina",Darlington County, South Carolina,2012,"$59,510.00 ",$984.00 ,"$4,959.17 ",20%
"Horry County, South Carolina",Horry County, South Carolina,2013,"$59,527.00 ","$1,266.00 ","$4,960.58 ",26%
"Wilkes County, North Carolina",Wilkes County, North Carolina,2017,"$59,528.00 ","$1,010.00 ","$4,960.67 ",20%
"Cleveland County, North Carolina",Cleveland County, North Carolina,2012,"$59,540.00 ","$1,070.00 ","$4,961.67 ",22%
"Jackson County, North Carolina",Jackson County, North Carolina,2010,"$59,564.00 ","$1,082.00 ","$4,963.67 ",22%
"Calhoun County, South Carolina",Calhoun County, South Carolina,2011,"$59,566.00 ","$1,060.00 ","$4,963.83 ",21%
"Randolph County, North Carolina",Randolph County, North Carolina,2010,"$59,568.00 ","$1,082.00 ","$4,964.00 ",22%
"Pamlico County, North Carolina",Pamlico County, North Carolina,2015,"$59,578.00 ","$1,180.00 ","$4,964.83 ",24%
"Marlboro County, South Carolina",Marlboro County, South Carolina,2018,"$59,638.00 ",$864.00 ,"$4,969.83 ",17%
"Washington County, North Carolina",Washington County, North Carolina,2015,"$59,643.00 ","$1,026.00 ","$4,970.25 ",21%
"Rockingham County, North Carolina",Rockingham County, North Carolina,2015,"$59,644.00 ","$1,000.00 ","$4,970.33 ",20%
"Surry County, North Carolina",Surry County, North Carolina,2013,"$59,665.00 ","$1,046.00 ","$4,972.08 ",21%
"Yancey County, North Carolina",Yancey County, North Carolina,2017,"$59,712.00 ",$981.00 ,"$4,976.00 ",20%
"Randolph County, North Carolina",Randolph County, North Carolina,2013,"$59,714.00 ","$1,084.00 ","$4,976.17 ",22%
"Saluda County, South Carolina",Saluda County, South Carolina,2012,"$59,722.00 ",$954.00 ,"$4,976.83 ",19%
"Hoke County, North Carolina",Hoke County, North Carolina,2013,"$59,756.00 ","$1,202.00 ","$4,979.67 ",24%
"Surry County, North Carolina",Surry County, North Carolina,2012,"$59,782.00 ","$1,054.00 ","$4,981.83 ",21%
"Swain County, North Carolina",Swain County, North Carolina,2013,"$59,785.00 ","$1,059.00 ","$4,982.08 ",21%
"Madison County, North Carolina",Madison County, North Carolina,2011,"$59,787.00 ","$1,169.00 ","$4,982.25 ",23%
"Randolph County, North Carolina",Randolph County, North Carolina,2012,"$59,791.00 ","$1,095.00 ","$4,982.58 ",22%
"Dillon County, South Carolina",Dillon County, South Carolina,2018,"$59,821.00 ",$904.00 ,"$4,985.08 ",18%
"Randolph County, North Carolina",Randolph County, North Carolina,2014,"$59,838.00 ","$1,064.00 ","$4,986.50 ",21%
"Clarendon County, South Carolina",Clarendon County, South Carolina,2018,"$59,853.00 ",$991.00 ,"$4,987.75 ",20%
"Laurens County, South Carolina",Laurens County, South Carolina,2017,"$59,869.00 ",$980.00 ,"$4,989.08 ",20%
"Darlington County, South Carolina",Darlington County, South Carolina,2015,"$59,916.00 ",$947.00 ,"$4,993.00 ",19%
"Saluda County, South Carolina",Saluda County, South Carolina,2017,"$59,940.00 ","$1,091.00 ","$4,995.00 ",22%
"Alexander County, North Carolina",Alexander County, North Carolina,2013,"$59,981.00 ",$986.00 ,"$4,998.42 ",20%
"Sampson County, North Carolina",Sampson County, North Carolina,2017,"$59,986.00 ","$1,055.00 ","$4,998.83 ",21%
"Swain County, North Carolina",Swain County, North Carolina,2014,"$60,026.00 ","$1,066.00 ","$5,002.17 ",21%
"Perquimans County, North Carolina",Perquimans County, North Carolina,2014,"$60,042.00 ","$1,356.00 ","$5,003.50 ",27%
"Lancaster County, South Carolina",Lancaster County, South Carolina,2013,"$60,044.00 ","$1,149.00 ","$5,003.67 ",23%
"Avery County, North Carolina",Avery County, North Carolina,2017,"$60,047.00 ","$1,026.00 ","$5,003.92 ",21%
"Beaufort County, North Carolina",Beaufort County, North Carolina,2010,"$60,060.00 ","$1,145.00 ","$5,005.00 ",23%
"Hampton County, South Carolina",Hampton County, South Carolina,2015,"$60,063.00 ",$947.00 ,"$5,005.25 ",19%
"Edgecombe County, North Carolina",Edgecombe County, North Carolina,2018,"$60,079.00 ","$1,055.00 ","$5,006.58 ",21%
"Hoke County, North Carolina",Hoke County, North Carolina,2015,"$60,081.00 ","$1,158.00 ","$5,006.75 ",23%
"Hampton County, South Carolina",Hampton County, South Carolina,2014,"$60,094.00 ",$923.00 ,"$5,007.83 ",18%
"Mitchell County, North Carolina",Mitchell County, North Carolina,2018,"$60,095.00 ","$1,040.00 ","$5,007.92 ",21%
"Rockingham County, North Carolina",Rockingham County, North Carolina,2014,"$60,113.00 ","$1,028.00 ","$5,009.42 ",21%
"Vance County, North Carolina",Vance County, North Carolina,2018,"$60,137.00 ","$1,083.00 ","$5,011.42 ",22%
"Saluda County, South Carolina",Saluda County, South Carolina,2015,"$60,141.00 ",$990.00 ,"$5,011.75 ",20%
"Person County, North Carolina",Person County, North Carolina,2016,"$60,145.00 ","$1,075.00 ","$5,012.08 ",21%
"Pamlico County, North Carolina",Pamlico County, North Carolina,2012,"$60,168.00 ","$1,292.00 ","$5,014.00 ",26%
"Lancaster County, South Carolina",Lancaster County, South Carolina,2012,"$60,181.00 ","$1,154.00 ","$5,015.08 ",23%
"Yadkin County, North Carolina",Yadkin County, North Carolina,2016,"$60,189.00 ",$995.00 ,"$5,015.75 ",20%
"Sumter County, South Carolina",Sumter County, South Carolina,2012,"$60,202.00 ","$1,026.00 ","$5,016.83 ",20%
"Horry County, South Carolina",Horry County, South Carolina,2010,"$60,226.00 ","$1,236.00 ","$5,018.83 ",25%
"Halifax County, North Carolina",Halifax County, North Carolina,2016,"$60,249.00 ","$1,030.00 ","$5,020.75 ",21%
"Pamlico County, North Carolina",Pamlico County, North Carolina,2014,"$60,250.00 ","$1,233.00 ","$5,020.83 ",25%
"Horry County, South Carolina",Horry County, South Carolina,2012,"$60,255.00 ","$1,278.00 ","$5,021.25 ",25%
"Cleveland County, North Carolina",Cleveland County, North Carolina,2015,"$60,278.00 ","$1,003.00 ","$5,023.17 ",20%
"Transylvania County, North Carolina",Transylvania County, North Carolina,2013,"$60,307.00 ","$1,107.00 ","$5,025.58 ",22%
"Perquimans County, North Carolina",Perquimans County, North Carolina,2013,"$60,313.00 ","$1,391.00 ","$5,026.08 ",28%
"Pender County, North Carolina",Pender County, North Carolina,2010,"$60,324.00 ","$1,229.00 ","$5,027.00 ",24%
"Cleveland County, North Carolina",Cleveland County, North Carolina,2013,"$60,328.00 ","$1,055.00 ","$5,027.33 ",21%
"Polk County, North Carolina",Polk County, North Carolina,2015,"$60,338.00 ","$1,215.00 ","$5,028.17 ",24%
"Pender County, North Carolina",Pender County, North Carolina,2011,"$60,339.00 ","$1,261.00 ","$5,028.25 ",25%
"Horry County, South Carolina",Horry County, South Carolina,2011,"$60,364.00 ","$1,296.00 ","$5,030.33 ",26%
"Alexander County, North Carolina",Alexander County, North Carolina,2014,"$60,369.00 ",$966.00 ,"$5,030.75 ",19%
"Greene County, North Carolina",Greene County, North Carolina,2011,"$60,409.00 ",$982.00 ,"$5,034.08 ",20%
"Halifax County, North Carolina",Halifax County, North Carolina,2015,"$60,420.00 ","$1,061.00 ","$5,035.00 ",21%
"Madison County, North Carolina",Madison County, North Carolina,2012,"$60,422.00 ","$1,215.00 ","$5,035.17 ",24%
"Lancaster County, South Carolina",Lancaster County, South Carolina,2011,"$60,424.00 ","$1,157.00 ","$5,035.33 ",23%
"Brunswick County, North Carolina",Brunswick County, North Carolina,2010,"$60,430.00 ","$1,259.00 ","$5,035.83 ",25%
"Georgetown County, South Carolina",Georgetown County, South Carolina,2013,"$60,463.00 ","$1,303.00 ","$5,038.58 ",26%
"Wilson County, North Carolina",Wilson County, North Carolina,2013,"$60,518.00 ","$1,204.00 ","$5,043.17 ",24%
"Stokes County, North Carolina",Stokes County, North Carolina,2015,"$60,559.00 ","$1,046.00 ","$5,046.58 ",21%
"Person County, North Carolina",Person County, North Carolina,2013,"$60,568.00 ","$1,134.00 ","$5,047.33 ",22%
"Hyde County, North Carolina",Hyde County, North Carolina,2014,"$60,587.00 ",$878.00 ,"$5,048.92 ",17%
"Cherokee County, South Carolina",Cherokee County, South Carolina,2015,"$60,588.00 ",$923.00 ,"$5,049.00 ",18%
"Saluda County, South Carolina",Saluda County, South Carolina,2014,"$60,673.00 ","$1,029.00 ","$5,056.08 ",20%
"Richmond County, North Carolina",Richmond County, North Carolina,2018,"$60,693.00 ",$926.00 ,"$5,057.75 ",18%
"Lenoir County, North Carolina",Lenoir County, North Carolina,2016,"$60,702.00 ","$1,066.00 ","$5,058.50 ",21%
"Wayne County, North Carolina",Wayne County, North Carolina,2010,"$60,705.00 ","$1,087.00 ","$5,058.75 ",21%
"Cleveland County, North Carolina",Cleveland County, North Carolina,2016,"$60,714.00 ",$994.00 ,"$5,059.50 ",20%
"Stokes County, North Carolina",Stokes County, North Carolina,2014,"$60,742.00 ","$1,049.00 ","$5,061.83 ",21%
"Orangeburg County, South Carolina",Orangeburg County, South Carolina,2018,"$60,749.00 ","$1,086.00 ","$5,062.42 ",21%
"Lancaster County, South Carolina",Lancaster County, South Carolina,2014,"$60,815.00 ","$1,126.00 ","$5,067.92 ",22%
"Surry County, North Carolina",Surry County, North Carolina,2017,"$60,824.00 ","$1,019.00 ","$5,068.67 ",20%
"Anderson County, South Carolina",Anderson County, South Carolina,2010,"$60,881.00 ","$1,014.00 ","$5,073.42 ",20%
"Georgetown County, South Carolina",Georgetown County, South Carolina,2014,"$60,897.00 ","$1,300.00 ","$5,074.75 ",26%
"Caswell County, North Carolina",Caswell County, North Carolina,2017,"$60,914.00 ","$1,028.00 ","$5,076.17 ",20%
"Brunswick County, North Carolina",Brunswick County, North Carolina,2011,"$60,931.00 ","$1,300.00 ","$5,077.58 ",26%
"Wilson County, North Carolina",Wilson County, North Carolina,2014,"$61,014.00 ","$1,199.00 ","$5,084.50 ",24%
"Union County, South Carolina",Union County, South Carolina,2017,"$61,025.00 ",$892.00 ,"$5,085.42 ",18%
"Sumter County, South Carolina",Sumter County, South Carolina,2016,"$61,034.00 ","$1,041.00 ","$5,086.17 ",20%
"Bamberg County, South Carolina",Bamberg County, South Carolina,2013,"$61,050.00 ",$923.00 ,"$5,087.50 ",18%
"Cleveland County, North Carolina",Cleveland County, North Carolina,2014,"$61,068.00 ","$1,023.00 ","$5,089.00 ",20%
"Franklin County, North Carolina",Franklin County, North Carolina,2012,"$61,088.00 ","$1,184.00 ","$5,090.67 ",23%
"Rockingham County, North Carolina",Rockingham County, North Carolina,2016,"$61,094.00 ",$987.00 ,"$5,091.17 ",19%
"Bamberg County, South Carolina",Bamberg County, South Carolina,2014,"$61,122.00 ",$897.00 ,"$5,093.50 ",18%
"Horry County, South Carolina",Horry County, South Carolina,2016,"$61,122.00 ","$1,208.00 ","$5,093.50 ",24%
"Georgetown County, South Carolina",Georgetown County, South Carolina,2012,"$61,126.00 ","$1,332.00 ","$5,093.83 ",26%
"Darlington County, South Carolina",Darlington County, South Carolina,2017,"$61,155.00 ",$953.00 ,"$5,096.25 ",19%
"Calhoun County, South Carolina",Calhoun County, South Carolina,2016,"$61,170.00 ","$1,042.00 ","$5,097.50 ",20%
"Darlington County, South Carolina",Darlington County, South Carolina,2013,"$61,176.00 ","$1,007.00 ","$5,098.00 ",20%
"Sumter County, South Carolina",Sumter County, South Carolina,2013,"$61,182.00 ","$1,040.00 ","$5,098.50 ",20%
"Union County, South Carolina",Union County, South Carolina,2018,"$61,189.00 ",$933.00 ,"$5,099.08 ",18%
"Hoke County, North Carolina",Hoke County, North Carolina,2014,"$61,197.00 ","$1,184.00 ","$5,099.75 ",23%
"Chowan County, North Carolina",Chowan County, North Carolina,2015,"$61,303.00 ","$1,231.00 ","$5,108.58 ",24%
"Avery County, North Carolina",Avery County, North Carolina,2016,"$61,315.00 ","$1,066.00 ","$5,109.58 ",21%
"Bamberg County, South Carolina",Bamberg County, South Carolina,2015,"$61,321.00 ",$871.00 ,"$5,110.08 ",17%
"Rutherford County, North Carolina",Rutherford County, North Carolina,2018,"$61,334.00 ",$995.00 ,"$5,111.17 ",19%
"Kershaw County, South Carolina",Kershaw County, South Carolina,2015,"$61,344.00 ","$1,070.00 ","$5,112.00 ",21%
"Hoke County, North Carolina",Hoke County, North Carolina,2017,"$61,361.00 ","$1,136.00 ","$5,113.42 ",22%
"Randolph County, North Carolina",Randolph County, North Carolina,2015,"$61,382.00 ","$1,030.00 ","$5,115.17 ",20%
"Greenwood County, South Carolina",Greenwood County, South Carolina,2010,"$61,409.00 ",$969.00 ,"$5,117.42 ",19%
"Kershaw County, South Carolina",Kershaw County, South Carolina,2013,"$61,418.00 ","$1,115.00 ","$5,118.17 ",22%
"McDowell County, North Carolina",McDowell County, North Carolina,2017,"$61,448.00 ",$941.00 ,"$5,120.67 ",18%
"Hyde County, North Carolina",Hyde County, North Carolina,2012,"$61,464.00 ",$895.00 ,"$5,122.00 ",17%
"Haywood County, North Carolina",Haywood County, North Carolina,2013,"$61,486.00 ","$1,156.00 ","$5,123.83 ",23%
"Greenwood County, South Carolina",Greenwood County, South Carolina,2012,"$61,502.00 ",$986.00 ,"$5,125.17 ",19%
"Stokes County, North Carolina",Stokes County, North Carolina,2013,"$61,523.00 ","$1,028.00 ","$5,126.92 ",20%
"Rowan County, North Carolina",Rowan County, North Carolina,2014,"$61,525.00 ","$1,085.00 ","$5,127.08 ",21%
"Stokes County, North Carolina",Stokes County, North Carolina,2011,"$61,541.00 ","$1,010.00 ","$5,128.42 ",20%
"Georgetown County, South Carolina",Georgetown County, South Carolina,2015,"$61,580.00 ","$1,324.00 ","$5,131.67 ",26%
"Laurens County, South Carolina",Laurens County, South Carolina,2016,"$61,584.00 ",$940.00 ,"$5,132.00 ",18%
"Greene County, North Carolina",Greene County, North Carolina,2010,"$61,607.00 ",$925.00 ,"$5,133.92 ",18%
"Georgetown County, South Carolina",Georgetown County, South Carolina,2010,"$61,646.00 ","$1,271.00 ","$5,137.17 ",25%
"Saluda County, South Carolina",Saluda County, South Carolina,2016,"$61,652.00 ","$1,020.00 ","$5,137.67 ",20%
"Georgetown County, South Carolina",Georgetown County, South Carolina,2011,"$61,658.00 ","$1,310.00 ","$5,138.17 ",25%
"Vance County, North Carolina",Vance County, North Carolina,2012,"$61,689.00 ","$1,111.00 ","$5,140.75 ",22%
"Wilson County, North Carolina",Wilson County, North Carolina,2010,"$61,704.00 ","$1,200.00 ","$5,142.00 ",23%
"Hampton County, South Carolina",Hampton County, South Carolina,2016,"$61,714.00 ",$995.00 ,"$5,142.83 ",19%
"Rockingham County, North Carolina",Rockingham County, North Carolina,2017,"$61,718.00 ",$993.00 ,"$5,143.17 ",19%
"Davidson County, North Carolina",Davidson County, North Carolina,2010,"$61,720.00 ","$1,124.00 ","$5,143.33 ",22%
"Haywood County, North Carolina",Haywood County, North Carolina,2014,"$61,721.00 ","$1,182.00 ","$5,143.42 ",23%
"Scotland County, North Carolina",Scotland County, North Carolina,2018,"$61,773.00 ","$1,017.00 ","$5,147.75 ",20%
"Cleveland County, North Carolina",Cleveland County, North Carolina,2017,"$61,799.00 ","$1,003.00 ","$5,149.92 ",19%
"Franklin County, North Carolina",Franklin County, North Carolina,2011,"$61,813.00 ","$1,173.00 ","$5,151.08 ",23%
"Newberry County, South Carolina",Newberry County, South Carolina,2017,"$61,816.00 ","$1,063.00 ","$5,151.33 ",21%
"Sumter County, South Carolina",Sumter County, South Carolina,2014,"$61,816.00 ","$1,056.00 ","$5,151.33 ",20%
"Stokes County, North Carolina",Stokes County, North Carolina,2012,"$61,863.00 ","$1,014.00 ","$5,155.25 ",20%
"Pender County, North Carolina",Pender County, North Carolina,2012,"$61,879.00 ","$1,282.00 ","$5,156.58 ",25%
"Chesterfield County, South Carolina",Chesterfield County, South Carolina,2018,"$61,902.00 ",$894.00 ,"$5,158.50 ",17%
"Bamberg County, South Carolina",Bamberg County, South Carolina,2012,"$61,912.00 ",$946.00 ,"$5,159.33 ",18%
"Oconee County, South Carolina",Oconee County, South Carolina,2013,"$61,912.00 ","$1,091.00 ","$5,159.33 ",21%
"Sumter County, South Carolina",Sumter County, South Carolina,2015,"$61,912.00 ","$1,038.00 ","$5,159.33 ",20%
"Lenoir County, North Carolina",Lenoir County, North Carolina,2017,"$61,915.00 ","$1,097.00 ","$5,159.58 ",21%
"Brunswick County, North Carolina",Brunswick County, North Carolina,2013,"$61,917.00 ","$1,314.00 ","$5,159.75 ",25%
"Ashe County, North Carolina",Ashe County, North Carolina,2017,"$61,925.00 ","$1,070.00 ","$5,160.42 ",21%
"Chester County, South Carolina",Chester County, South Carolina,2017,"$61,979.00 ",$945.00 ,"$5,164.92 ",18%
"McCormick County, South Carolina",McCormick County, South Carolina,2015,"$62,017.00 ",$976.00 ,"$5,168.08 ",19%
"Wilson County, North Carolina",Wilson County, North Carolina,2012,"$62,025.00 ","$1,207.00 ","$5,168.75 ",23%
"Darlington County, South Carolina",Darlington County, South Carolina,2014,"$62,036.00 ","$1,006.00 ","$5,169.67 ",19%
"Buncombe County, North Carolina",Buncombe County, North Carolina,2010,"$62,037.00 ","$1,251.00 ","$5,169.75 ",24%
"Franklin County, North Carolina",Franklin County, North Carolina,2013,"$62,049.00 ","$1,197.00 ","$5,170.75 ",23%
"Haywood County, North Carolina",Haywood County, North Carolina,2010,"$62,057.00 ","$1,105.00 ","$5,171.42 ",21%
"Newberry County, South Carolina",Newberry County, South Carolina,2010,"$62,064.00 ",$972.00 ,"$5,172.00 ",19%
"Caldwell County, North Carolina",Caldwell County, North Carolina,2018,"$62,081.00 ",$979.00 ,"$5,173.42 ",19%
"Florence County, South Carolina",Florence County, South Carolina,2012,"$62,081.00 ","$1,066.00 ","$5,173.42 ",21%
"Transylvania County, North Carolina",Transylvania County, North Carolina,2014,"$62,101.00 ","$1,105.00 ","$5,175.08 ",21%
"Beaufort County, North Carolina",Beaufort County, North Carolina,2014,"$62,118.00 ","$1,196.00 ","$5,176.50 ",23%
"Haywood County, North Carolina",Haywood County, North Carolina,2012,"$62,147.00 ","$1,146.00 ","$5,178.92 ",22%
"Oconee County, South Carolina",Oconee County, South Carolina,2014,"$62,151.00 ","$1,114.00 ","$5,179.25 ",22%
"Brunswick County, North Carolina",Brunswick County, North Carolina,2014,"$62,222.00 ","$1,314.00 ","$5,185.17 ",25%
"Stokes County, North Carolina",Stokes County, North Carolina,2017,"$62,223.00 ","$1,054.00 ","$5,185.25 ",20%
"Calhoun County, South Carolina",Calhoun County, South Carolina,2017,"$62,228.00 ","$1,151.00 ","$5,185.67 ",22%
"Onslow County, North Carolina",Onslow County, North Carolina,2015,"$62,234.00 ","$1,245.00 ","$5,186.17 ",24%
"Davidson County, North Carolina",Davidson County, North Carolina,2014,"$62,321.00 ","$1,110.00 ","$5,193.42 ",21%
"Rowan County, North Carolina",Rowan County, North Carolina,2013,"$62,359.00 ","$1,112.00 ","$5,196.58 ",21%
"Fairfield County, South Carolina",Fairfield County, South Carolina,2015,"$62,361.00 ","$1,027.00 ","$5,196.75 ",20%
"Transylvania County, North Carolina",Transylvania County, North Carolina,2015,"$62,380.00 ","$1,106.00 ","$5,198.33 ",21%
"Davidson County, North Carolina",Davidson County, North Carolina,2013,"$62,388.00 ","$1,141.00 ","$5,199.00 ",22%
"Wilkes County, North Carolina",Wilkes County, North Carolina,2018,"$62,390.00 ","$1,019.00 ","$5,199.17 ",20%
"Spartanburg County, South Carolina",Spartanburg County, South Carolina,2010,"$62,391.00 ","$1,084.00 ","$5,199.25 ",21%
